phylum	A2O_pre_1	A2O_pre_2	A2O_pre_3	A2O_A1_1	A2O_A1_2	A2O_A1_3	A2O_A2_1	A2O_A2_2	A2O_A2_3	A2O_O_1	A2O_O_2	A2O_O_3	AO_A_1	AO_A_2	AO_A_3	AO_O_1	AO_O_2	AO_O_3
Micrarchaeota	0.175000572	0.184562721	0.179589023	0.162534936	0.180440727	0.168112036	0.180639498	0.17118647	0.173759127	0.197535097	0.197357959	0.178752758	0	0	0	0	0	0
Iainarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0.561969238	0.616597999	0.499520785	0.546826052	0.611162027	0.551395627
Bacteroidota	23.72108978	24.18643952	24.68147429	24.05654257	24.39376302	23.27069225	24.38290323	24.47051588	25.00187429	24.20646971	24.51353321	22.82710012	26.57029752	29.19226526	24.13590834	26.6587103	26.89834691	25.52883167
Gammaproteobacteria	24.92020927	24.17927097	24.76746916	25.52844454	25.36479607	25.77872158	25.1020767	25.11866461	24.42464574	26.26972835	26.17882676	27.1496296	23.76357942	22.4490517	25.19559052	23.51225427	23.58497331	24.23239284
Campylobacterota	0.185854199	0.198773349	0.215379963	0.280893771	0.301589788	0.27868897	0.276968985	0.269359975	0.245946625	0.186679286	0.208850898	0.183345204	0.647856587	0.728537002	0.587619199	0.381610593	0.393301818	0.345428071
Cyanobacteria	0.744452014	0.748242797	0.747098067	0.77137663	0.777657242	0.762134018	0.721398854	0.728229723	0.749054783	0.795474778	0.802832711	0.786524296	0.593538317	0.603735991	0.58298114	0.59445363	0.616917635	0.588083579
Actinobacteriota	6.715438701	7.138504661	6.333799162	6.241430654	6.240696019	6.69975418	6.432944644	6.428001041	6.793899204	6.496588775	6.467438409	6.940381861	7.158051574	6.178708213	7.727228289	7.55249865	7.164797912	7.863854363
Armatimonadota	0.680422088	0.665031268	0.665005749	0.626937928	0.625258273	0.630682346	0.668054345	0.66729217	0.593259251	0.602143766	0.602404748	0.582300283	0.412115178	0.405107659	0.417400589	0.381672048	0.373331251	0.37000437
Patescibacteria	2.530476085	2.56939819	2.650655178	2.472028406	2.57798929	2.520354196	2.634676709	2.64223598	2.564936567	2.637835964	2.68550311	2.537462282	3.133660408	3.305232125	2.998755135	3.237009885	3.135686603	3.10392233
Chloroflexota	10.1662004	10.5594022	10.15722935	10.21252509	10.07653646	10.22280997	10.37598347	10.31805562	10.26783564	9.057031347	8.967801762	8.89088656	8.000882349	7.874188515	8.101169464	8.000142575	8.01113919	7.955539525
Verrucomicrobiota	1.8849239	1.890539814	1.825632001	1.872877463	1.847603001	1.881664765	1.792497455	1.804412627	1.846717644	1.793627948	1.789927446	1.790758101	1.265026684	1.144086301	1.315411528	1.336030386	1.308663977	1.355816606
Planctomycetota	2.120779996	2.080471811	2.033710949	1.886148034	1.881465936	1.955822117	1.971343724	1.956245469	1.944707247	1.909541172	1.889263695	1.984293429	1.803117978	1.709467357	1.865623641	1.841208425	1.760316753	1.848523081
Spirochaetota	0.663947545	0.692807884	0.69353348	0.699681636	0.708934246	0.673468417	0.686140105	0.684061743	0.668420119	0.75423896	0.748697628	0.733182203	0.506558239	0.564268173	0.441418446	0.551975976	0.560086808	0.516032838
UBP7	0.443906849	0.437412344	0.430860746	0.453383607	0.433041191	0.432786569	0.413080681	0.404530398	0.428342095	0.469304423	0.46029037	0.447502058	0	0	0	0	0	0
Others	0	0	0	0	0	0	0	0	0	0	0	0	0.845586615	0.922732046	0.751309943	0.823551499	0.856216324	0.793825452
Gemmatimonadota	1.500861618	1.390107845	1.399354343	1.431605322	1.408673633	1.461549958	1.364101634	1.351423975	1.361721133	1.434707198	1.381744721	1.468642389	0	0	0	0	0	0
ARS69	0.238100418	0.22144997	0.21489687	0.238732305	0.229776878	0.235205035	0.217105849	0.210989992	0.223010963	0.23510352	0.225445401	0.244595384	0.396804955	0.363651246	0.427430159	0.352775935	0.398802137	0.388921234
Zixibacteria	0.388360869	0.386179828	0.381585192	0.38099867	0.387405842	0.376022791	0.371367925	0.3751991	0.394277888	0.409081101	0.404984977	0.399003719	0.922882227	0.970300193	0.887969018	0.873047308	0.923177486	0.887269784
Alphaproteobacteria	3.912898112	3.83737542	3.807336865	3.899525607	3.903720016	4.017687086	3.834584851	3.857562241	3.900230488	3.98230576	3.97782213	4.15061067	3.961883429	3.840115321	4.203353496	3.967315805	3.976759644	4.085909529
Dependentiae	0.502906257	0.550946406	0.526681327	0.554592416	0.560429199	0.539135501	0.514252693	0.515339811	0.515659645	0.542489663	0.581961409	0.520251593	0	0	0	0	0	0
Nitrospirota	4.236298975	4.145496755	4.303251426	4.320280797	4.294034476	4.336897125	4.406814559	4.472283098	4.531090735	4.539578843	4.527200293	4.489859895	6.864893827	6.616977353	7.074836839	7.212603671	6.886178905	7.176614937
Myxococcota	5.957860432	5.726850355	5.745651516	5.998464067	5.916645236	5.914260045	5.595022289	5.52602552	5.483593106	6.01752632	5.987293976	6.191468605	3.627574204	3.49343098	3.849767903	3.532472944	3.672820603	3.650468665
Bdellovibrionota	1.474613149	1.545078351	1.519606861	1.550133685	1.58127922	1.504103406	1.517782122	1.508919484	1.481087743	1.60542397	1.624687081	1.569578923	1.078758308	1.138637431	1.009565209	1.085386415	1.094296587	1.046989687
Acidobacteriota	5.46478067	5.288940252	5.349556711	5.009045555	4.935770976	4.993955509	5.225762619	5.206616468	5.049616824	4.397038388	4.340651219	4.538512261	5.691644425	5.597053524	5.864494943	5.509466058	5.61713115	5.638463835
Omnitrophota	0.816242039	0.832637524	0.828472046	0.803811863	0.820238148	0.802487763	0.788745892	0.802924178	0.830059576	0.870550637	0.868815122	0.822578849	0.83695285	0.911730924	0.761685361	0.805729567	0.826782655	0.799889959
Elusimicrobiota	0.554376062	0.544079772	0.54216973	0.548004441	0.552255115	0.543004367	0.525751165	0.509924422	0.52625356	0.589995016	0.566664962	0.572778963	1.356365672	1.374124692	1.300960053	1.243258009	1.329110311	1.271822026
