genome	PHATE1	PHATE2
A2O.1	-0.000216317	-0.026917973
A2O.72	-0.027187918	-0.002442253
A2O.116	-0.049186135	0.020957082
A2O.95	0.123192623	0.027077775
A2O.43	-0.031300025	-0.025804558
A2O.131	-0.028722269	-0.024991129
A2O.83	-0.015532229	0.049262144
A2O.98	-0.011998945	0.029380506
A2O.85	0.106716359	0.021804247
AO.7	-0.030491459	-0.01937948
A2O.3	-0.029067305	-0.0206868
A2O.126	-0.036252159	0.00164819
AO.76	0.102438633	-0.006219905
AO.50	-0.051000331	0.031044555
AO.84	-0.020717697	-0.01849663
A2O.122	-0.024300733	-0.021455271
AO.32	-0.014414689	0.047398775
A2O.11	-0.037431597	-0.004345473
A2O.97	-0.028940315	-0.021304105
AO.10	-0.038171252	-0.004025518
AO.9	-0.026628503	-0.021745156
A2O.14	-0.053458868	0.036799999
A2O.133	-0.049854645	0.025277187
AO.25	-0.041421167	0.008820675
AO.99	-0.038226161	-0.003970625
A2O.71	-0.029253569	-0.012738169
A2O.26	-0.033718659	-0.000381445
A2O.88	-0.050934786	0.030308327
A2O.92	0.096282435	-0.0095067
A2O.105	-0.021986358	-0.020379209
AO.94	-0.015916481	0.041179043
A2O.103	-0.024519735	0.019911374
AO.46	-0.053870689	0.037087502
AO.28	-0.053943039	0.037104758
AO.72	0.01321231	-0.038234729
A2O.89	0.119386768	0.02726284
AO.34	-0.021667983	-0.022494928
A2O.73	-0.052429016	0.038840836
A2O.148	-0.047095054	0.020712527
A2O.156	-0.01666702	0.015649662
AO.71	-0.044983687	0.015679396
AO.20	-0.042791763	0.030310683
AO.78	-0.031333468	-0.026568114
AO.1	-0.021317477	-0.023650669
A2O.112	-0.048753245	0.025837058
A2O.107	-0.041864346	0.009306311
A2O.140	-0.049346486	0.026338044
AO.63	-0.013539412	0.033939066
AO.35	-0.0205289	-0.0230456
A2O.77	-0.035556386	-0.002218528
A2O.134	-0.047691667	0.022304867
A2O.82	-0.019860474	0.03954941
A2O.4	-0.016779622	0.038216669
AO.5	-0.0432382	0.030512504
AO.68	-0.009862481	-0.016611108
A2O.47	-0.044360402	0.017681527
AO.69	-0.031368055	-0.016987382
A2O.21	-0.038042459	-0.004125747
A2O.125	-0.034289887	-0.018622973
AO.73	-0.033120008	0.028506433
A2O.49	-0.009806518	-0.016522891
A2O.123	-0.037697875	0.031661595
A2O.132	-0.054158238	0.038523795
AO.65	-0.032791334	-0.019039686
A2O.29	-0.038535236	0.005468879
A2O.84	-0.042955874	0.028969994
A2O.19	-0.010959333	-0.025736112
A2O.58	-0.045605919	0.017379243
AO.15	-0.024455056	-0.003588103
A2O.8	0.127933292	0.028652274
A2O.28	0.116800509	-0.00794443
AO.90	-0.047137947	0.018067036
A2O.50	-0.038130353	-0.008543907
AO.95	-0.043398598	0.030417281
AO.16	-0.032420551	-0.000871705
A2O.67	-0.036909443	-0.015393353
AO.54	-0.022530774	-0.015208036
A2O.13	-0.037841904	-0.012938536
A2O.158	0.118408436	-0.007849597
A2O.65	-0.031942708	-0.000612948
AO.74	0.123089279	0.028189586
A2O.90	-0.034987032	-0.000396142
A2O.20	-0.018503343	-0.022888844
A2O.147	-0.015553758	-0.023683617
A2O.127	-0.013106287	-0.005917818
A2O.78	-0.032022849	-0.004487274
AO.33	-0.019156521	-0.023867229
AO.53	-0.052956825	0.040360143
A2O.157	-0.023741939	-0.020868028
A2O.33	-0.021085179	-0.022558254
A2O.119	-0.027628985	-0.021129722
A2O.22	-0.022983571	-0.023672438
A2O.15	-0.015884505	0.041112161
A2O.34	-0.040965241	0.023993257
A2O.155	-0.02697043	-0.003762581
AO.97	-0.031684084	0.001931303
A2O.44	-0.030604918	-0.005886945
AO.17	-0.031335179	-0.004680266
A2O.70	-0.027164886	0.000220569
AO.82	-0.031454454	0.001911217
AO.75	-0.026653161	-0.004044476
AO.83	0.07312903	-0.017683292
A2O.76	-0.029108357	-0.025598779
A2O.159	0.097686585	0.01674426
A2O.113	0.106248207	-0.009156224
A2O.81	-0.034168009	-0.012255217
AO.85	-0.015506941	0.050701983
A2O.114	0.110622006	-0.008331833
A2O.117	-0.040318597	-0.010367992
A2O.128	-0.022734634	-0.00249055
A2O.27	-0.038560309	-0.014454837
A2O.120	-0.023309019	-0.021703897
AO.14	-0.011804092	-0.006336064
AO.27	-0.018670863	-0.022428835
A2O.54	-0.028532259	-0.022536415
A2O.124	-0.021168864	0.023821486
A2O.118	-0.033737748	-0.00895652
A2O.45	-0.017898392	-0.022913389
A2O.102	-0.039952137	-0.008992702
AO.92	0.109302231	0.018461527
AO.64	0.097905243	0.012280637
AO.2	0.078257971	-0.013761645
A2O.144	-0.025210485	0.00056188
A2O.151	0.106277913	-0.006367789
A2O.51	-0.027409621	-0.019310336
A2O.130	0.117023761	0.022220537
AO.89	-0.020388051	-0.023107187
A2O.69	-0.051948327	0.009300721
A2O.136	-0.01702668	-0.024199128
A2O.61	-0.021876065	-0.023516218
AO.26	-0.048415584	0.005368376
A2O.106	-0.031565486	-0.001508408
AO.39	0.103640348	-0.008888821
A2O.53	0.120749269	0.025112515
A2O.48	0.124436013	0.025048113
A2O.6	-0.020157476	-0.021479321
AO.86	0.139574841	0.035749961
A2O.93	0.121386211	0.027439376
A2O.18	-0.032864902	-0.009181323
A2O.40	0.116891001	0.022220455
AO.57	-0.051547661	0.009302714
A2O.142	-0.000839739	-0.032238323
AO.38	-0.020136335	-0.023421325
AO.77	-0.038715614	-0.010535147
AO.12	0.109117725	-0.008615614
A2O.56	-0.052350644	0.010826401
A2O.35	0.110580397	0.015743156
A2O.12	0.097878949	-0.009704975
AO.67	-0.038830642	-0.012558591
A2O.17	-0.038645719	-0.013733449
AO.36	-0.029569032	-0.02576775
AO.18	-0.041505655	0.027950389
A2O.91	0.113247603	0.019246882
AO.3	0.084219553	-0.014270921
A2O.68	-0.015910691	0.045879612
AO.59	-0.035043906	0.03029877
A2O.129	0.138430372	0.034992799
AO.43	0.139641458	0.035862654
A2O.32	-0.017179893	0.050151399
A2O.86	-0.032395091	0.002590148
A2O.108	0.135365799	0.033164051
A2O.57	-0.052286756	0.038656601
AO.49	-0.052033527	0.03856291
AO.40	-0.017357659	0.049852517
A2O.52	-0.014405634	0.034365791
A2O.16	-0.02466012	0.003420895
A2O.135	-0.024983166	0.018312729
AO.22	0.11152638	0.024136331
A2O.99	-0.024798502	0.019714977
A2O.36	-0.020268784	-0.010562929
AO.91	-0.014869284	0.049537494
A2O.111	-0.019734221	-0.00449832
AO.24	-0.015930719	-0.007148815
A2O.100	0.106599536	0.02207128
AO.61	-0.024872901	0.019964561
AO.62	-0.028648764	-0.024163801
A2O.94	-0.033431676	-0.018146907
AO.58	-0.025070805	-0.025484251
A2O.38	-0.02567986	-0.025303335
A2O.143	-0.012394027	-0.024153121
AO.56	-0.031047618	-0.01814789
A2O.139	0.051979295	-0.032448626
A2O.30	-0.029063339	-0.023658683
A2O.9	-0.034987015	-0.015724915
A2O.24	0.11687288	0.025850106
A2O.31	0.12274915	0.027830792
A2O.46	0.101546159	-0.009539311
A2O.74	-0.024709986	0.019055185
A2O.42	-0.018399857	-0.025558526
A2O.25	-0.012836619	-0.02353957
AO.23	-0.0311051	-0.019809479
AO.29	0.02819731	-0.04267728
AO.41	-0.007076357	-0.018472187
A2O.138	-0.032442236	-0.006864831
AO.80	-0.023322563	0.016430637
A2O.146	0.052839481	-0.03087972
AO.79	-0.049571531	0.007532579
AO.93	-0.017426095	0.053472906
AO.51	-0.017604162	0.053555234
AO.21	-0.046422289	0.005824143
A2O.145	-0.037019547	-0.003276369
A2O.79	-0.034176169	0.000472751
A2O.149	0.024969692	-0.037752839
A2O.121	-0.016922138	0.045067822
AO.13	-0.03447222	-0.001270494
A2O.104	-0.01494025	0.040176966
A2O.5	-0.032548746	-0.000580841
A2O.39	-0.018724658	-0.005096837
A2O.62	-0.016949497	0.049663595
A2O.60	-0.011844354	-0.030376435
A2O.109	-0.047537041	0.022773322
AO.42	-0.052578534	0.031736657
A2O.115	-0.007305311	0.02938215
AO.55	0.021307095	-0.037782615
A2O.66	-0.017227871	0.051707509
A2O.152	-0.016715823	-0.00845395
A2O.101	-0.033805351	-0.001726735
AO.44	0.042437718	-0.032369893
AO.52	-0.022108505	-0.006010106
AO.30	-0.035762006	-0.016304113
AO.88	-0.029020007	-0.001517969
AO.45	0.041517265	-0.032196896
A2O.137	0.041579351	-0.033701093
A2O.7	0.044196966	-0.03226432
AO.4	0.041206058	-0.033621295
A2O.87	-0.006639502	-0.021634189
A2O.96	0.035138187	-0.033504484
AO.66	0.118244575	-0.008158598
A2O.64	0.040493569	-0.032523509
A2O.80	-0.005092539	-0.026573001
A2O.75	0.116986051	-0.008301127
A2O.23	0.038695329	-0.033458836
AO.87	0.118869102	-0.008104191
AO.6	-0.015087289	0.050702649
AO.48	-0.026333741	-0.002308733
A2O.55	-0.005926117	-0.034213361
AO.81	-0.005051598	-0.025758068
AO.11	-0.032722857	-0.018703456
A2O.10	0.037855973	-0.032787913
A2O.110	0.043083524	-0.032427361
A2O.63	0.037456377	-0.033831276
A2O.41	-0.025503385	-0.001954967
AO.60	0.04152679	-0.033111238
A2O.37	-0.014642707	0.04732685
A2O.141	-0.013901194	-0.022264941
A2O.2	-0.009024749	-0.023469021
AO.19	-0.007302819	-0.020865547
AO.8	-0.01297244	-0.006345619
AO.98	0.060514285	-0.029064022
A2O.59	0.109516057	-0.006143716
A2O.153	-0.009281661	-0.029786219
A2O.150	-0.01389416	-0.023808032
AO.37	-0.010243157	-0.029959997
AO.70	0.037244081	-0.032885128
AO.96	0.035025017	-0.033861581
AO.31	0.031143749	-0.035522222
A2O.154	0.042204843	-0.032535466
