L3	A2O.1	A2O.72	A2O.116	A2O.95	A2O.43	A2O.131	A2O.83	A2O.98	A2O.85	AO.7	A2O.3	A2O.126	AO.76	AO.50	AO.84	A2O.122	AO.32	A2O.11	A2O.97	AO.10	AO.9	A2O.14	A2O.133	AO.25	AO.99	A2O.71	A2O.26	A2O.88	A2O.92	A2O.105	AO.94	A2O.103	AO.46	AO.28	AO.72	A2O.89	AO.34	A2O.73	A2O.148	A2O.156	AO.71	AO.20	AO.78	AO.1	A2O.112	A2O.107	A2O.140	AO.63	AO.35	A2O.77	A2O.134	A2O.82	A2O.4	AO.5	AO.68	A2O.47	AO.69	A2O.21	A2O.125	AO.73	A2O.49	A2O.123	A2O.132	AO.65	A2O.29	A2O.84	A2O.19	A2O.58	AO.15	A2O.8	A2O.28	AO.90	A2O.50	AO.95	AO.16	A2O.67	AO.54	A2O.13	A2O.158	A2O.65	AO.74	A2O.90	A2O.20	A2O.147	A2O.127	A2O.78	AO.33	AO.53	A2O.157	A2O.33	A2O.119	A2O.22	A2O.15	A2O.34	A2O.155	AO.97	A2O.44	AO.17	A2O.70	AO.82	AO.75	AO.83	A2O.76	A2O.159	A2O.113	A2O.81	AO.85	A2O.114	A2O.117	A2O.128	A2O.27	A2O.120	AO.14	AO.27	A2O.54	A2O.124	A2O.118	A2O.45	A2O.102	AO.92	AO.64	AO.2	A2O.144	A2O.151	A2O.51	A2O.130	AO.89	A2O.69	A2O.136	A2O.61	AO.26	A2O.106	AO.39	A2O.53	A2O.48	A2O.6	AO.86	A2O.93	A2O.18	A2O.40	AO.57	A2O.142	AO.38	AO.77	AO.12	A2O.56	A2O.35	A2O.12	AO.67	A2O.17	AO.36	AO.18	A2O.91	AO.3	A2O.68	AO.59	A2O.129	AO.43	A2O.32	A2O.86	A2O.108	A2O.57	AO.49	AO.40	A2O.52	A2O.16	A2O.135	AO.22	A2O.99	A2O.36	AO.91	A2O.111	AO.24	A2O.100	AO.61	AO.62	A2O.94	AO.58	A2O.38	A2O.143	AO.56	A2O.139	A2O.30	A2O.9	A2O.24	A2O.31	A2O.46	A2O.74	A2O.42	A2O.25	AO.23	AO.29	AO.41	A2O.138	AO.80	A2O.146	A2O.41	AO.8	AO.79	AO.93	AO.51	AO.21	A2O.145	A2O.79	A2O.149	A2O.121	AO.13	A2O.104	A2O.5	A2O.39	A2O.62	A2O.60	A2O.109	AO.42	A2O.115	AO.55	A2O.66	A2O.152	A2O.101	AO.44	AO.52	AO.30	AO.88	AO.45	A2O.137	A2O.7	AO.4	A2O.87	A2O.96	AO.66	A2O.64	A2O.80	A2O.75	A2O.23	AO.87	AO.6	AO.48	A2O.55	AO.81	AO.11	A2O.10	A2O.110	A2O.63	AO.60	A2O.37	A2O.141	A2O.2	AO.19	AO.98	A2O.59	A2O.153	A2O.150	AO.37	AO.70	AO.96	AO.31	A2O.154
Arginine and proline metabolism	0.016741136	0.032214515	0.027042273	0.013431465	0	0	0.005499902	0.022967437	0	0.027396082	0.023130434	0.028288705	0.019576313	0.020605804	0	0.006964595	0.00540406	0.020820092	0.006720727	0.027151479	0.007053726	0.01758353	0.028980461	0.024885153	0.026744511	0.015357766	0.023459912	0.021682128	0.030864386	0.007227508	0.017021638	0.017690284	0.017292318	0.019535412	0.031814165	0.023358711	0.007223365	0.015314718	0.020859295	0.035346314	0.032586755	0.025948141	0	0	0.014518605	0.023200339	0.025085576	0.022160236	0	0.019650129	0.021964721	0.019679538	0.019739951	0.031505198	0.02753482	0.032561589	0.008915021	0.026977682	0.026402308	0.030479552	0.027719933	0.021212141	0.016558408	0.035700635	0.027752977	0.026174226	0.009477693	0.03163009	0.025035084	0.01872954	0.019749096	0.031370722	0.010370592	0.024554659	0.022769049	0.033410398	0.042053267	0.028215572	0.024955962	0.033301794	0.02099329	0.00927294	0	0	0.028286725	0.019477763	0	0.018443128	0	0.007180896	0.02727429	0	0.019925605	0.030787112	0.034943257	0.02986309	0.019152463	0.018503792	0.029394851	0.0301151	0.023212086	0.015624009	0	0.019417443	0.030551737	0.022273546	0.011614455	0.020146558	0.031936897	0.015419613	0.006445902	0.008919091	0.031243933	0	0	0.014397199	0.037792808	0	0.026975529	0.03009133	0.031151195	0.027931834	0.011374598	0.015696216	0.034646086	0.026622849	0	0.027798395	0	0	0.022755282	0.025406459	0.009053388	0.033324676	0.021672375	0	0.021131604	0.01896349	0.038911593	0.026912903	0.031290473	0.031878558	0	0.027179656	0.04376315	0.022615992	0.017197717	0.03052125	0.020308768	0.006493739	0	0.020166592	0.014790376	0.014390007	0.018400507	0.027650789	0.021031646	0.022337217	0.018275409	0.029736443	0.024204894	0.017229457	0.021659017	0.018304861	0.023904653	0.019381716	0.01632279	0.018523397	0.018124104	0.014437584	0.005991068	0.01767714	0.01603662	0.019594212	0.014616594	0	0	0	0	0.006483307	0.008264083	0.00911577	0	0.032516253	0.023370384	0.023961776	0.016411186	0.01548979	0.010411463	0.006415538	0	0.032854209	0.0072934	0.028163005	0.022059187	0.017011316	0.031730682	0.033670034	0.033195705	0.01391094	0.013919008	0.042258997	0.035143696	0.028653561	0	0.024630116	0.028304513	0.018623663	0.026566623	0.041213446	0.018300985	0.006721733	0.019659194	0.020727362	0.004789247	0	0.016185179	0.01743938	0.024673818	0	0.051730883	0.007128612	0.03064537	0	0	0	0	0.015874966	0.03973722	0.027378296	0	0.036677379	0.016699542	0	0.026962451	0.006205182	0.032527231	0.030785886	0.018388926	0.007513417	0	0	0	0	0.006285188	0	0	0.017362726	0.014857819	0.027558992	0.020573556	0	0.016401685	0	0	0.032353042	0
Aromatic amino acid metabolism	0.008370568	0.012885806	0.020839917	0.018567025	0.023490762	0.02385075	0.013749754	0.021326905	0.029732432	0.019924423	0.036283033	0.016973223	0.013050875	0.033961417	0.012845511	0.032501443	0.013510149	0.017845793	0.014561574	0.029982783	0.015283073	0.029632959	0.021400956	0.013272082	0.029533377	0.017551733	0.00547398	0.024735948	0.02116415	0.021682523	0.004255409	0.010886329	0.033102436	0.028110914	0.042418887	0.0118077	0.01444673	0.031358708	0.02190226	0.006426603	0.024396501	0.022834364	0.023971794	0.012439078	0.025165581	0.014032463	0.030678607	0.005540059	0.026125333	0.016842968	0.034452072	0.003610924	0.011843971	0.018903119	0.025500227	0.022793112	0	0.029790863	0.032402832	0.019172621	0.025671662	0.009191928	0.027569749	0.039667372	0.021558116	0.017798474	0.028433078	0.02228966	0.025160888	0.019723353	0.019343292	0.023486102	0.026667236	0.021046851	0.005692262	0.036782089	0.008410653	0.026630428	0.013638836	0.027592915	0.018397966	0.027818821	0.018424482	0.017692778	0.028286725	0.015481027	0.02609449	0.040534347	0.024417061	0.014361791	0.04010925	0.017807221	0.003985121	0.02880794	0.017805481	0.022971607	0.01603462	0.016229239	0.023570065	0.023165461	0.012573213	0	0.013542968	0.011041291	0.024441389	0.029698062	0.005807228	0.017124574	0.02918893	0.021026744	0.039964589	0.028541092	0.048818646	0.016738625	0.02512599	0.021595799	0.030234246	0.009068004	0.022254812	0.009361747	0.009691483	0.015235546	0.022749196	0.016677229	0.025303321	0.01618225	0.01942412	0.016679037	0.021371025	0.015090137	0.017698552	0.02117205	0.01923845	0.020533127	0.010543318	0.020705594	0.009202473	0.022603803	0.031129275	0.01676923	0.017111977	0.055787476	0.0199342	0.03053894	0.021655992	0.026889059	0.011465145	0.024417	0.015231576	0.040261183	0.0283374	0.01575515	0.00986025	0.017268008	0.004600127	0.022034223	0.009968955	0.009727498	0.017622716	0.005718547	0.011346044	0.026459524	0.02660965	0.019612351	0.008948266	0.029072573	0.023195544	0.021500372	0.025755306	0.012833408	0.005991068	0.032468216	0.03207324	0.027641835	0.006264255	0.027652347	0.029871108	0.028594519	0.02886258	0.012966614	0.038565722	0.010938924	0.028173267	0.031820187	0.024538904	0.024049871	0.022565381	0.023234684	0.031234388	0.006415538	0.032380143	0.016427105	0.015628714	0.018346186	0.023356786	0.028352193	0.025384546	0.044893378	0.023236994	0.00927396	0.009279338	0.03404197	0.030670862	0.038404325	0.030237735	0.010988377	0.034430116	0.018623663	0.03453661	0.032970757	0.006820243	0.013443466	0.025978221	0.028592655	0.014367742	0.013382579	0.007274238	0.013079535	0.02027985	0	0.035564982	0.028514448	0.01869887	0	0	0	0	0.04082134	0.01324574	0.021902637	0	0.029341903	0.022266056	0	0.021569961	0.006205182	0.019847124	0.014366747	0.036777852	0.02254025	0.105355575	0	0	0	0.006285188	0.016786682	0.016845089	0.047747496	0.011143364	0.011603786	0.01714463	0.007216529	0.016401685	0	0	0	0
Aromatics degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004006684	0.006422756	0	0	0	0.006720727	0	0	0.009890736	0.006019019	0	0	0	0.005630379	0	0.010582075	0	0.004255409	0	0.006916927	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00465163	0	0	0.009825065	0.007118197	0.003610924	0	0	0	0	0	0	0	0	0	0.009090918	0.014074646	0	0	0	0	0	0	0.003745908	0.00486964	0	0	0	0.005692262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006677708	0.003985121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008284114	0	0	0	0	0	0	0	0	0	0	0.003514439	0	0	0	0	0	0	0	0	0	0	0.005836385	0	0	0	0	0	0	0	0.011512005	0	0	0	0	0.003916159	0	0	0	0	0.00392247	0	0	0	0.004630849	0	0.006416704	0.005991068	0	0	0.004898553	0	0	0	0	0	0	0.008264083	0	0	0.005966285	0	0.00369998	0	0	0	0.006415538	0	0	0.0072934	0	0	0.008505658	0	0	0	0.00463698	0.004639669	0	0	0	0	0.004845269	0	0.004655916	0	0	0.003410121	0	0	0	0.009578494	0	0.003637119	0.005813127	0.005069963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006205182	0	0	0	0	0	0	0	0	0.006285188	0	0	0	0	0	0	0	0	0	0	0	0
ATP synthesis	0.035873862	0.040474646	0.028117349	0.019383448	0.030390146	0.04293135	0.02933281	0.026795343	0.029191842	0.025384481	0.047621481	0.032868781	0.02610175	0.033080828	0.034584069	0.035878216	0.016212179	0.02850751	0.034292938	0.025832624	0.035992088	0.024177354	0.030318021	0.021567133	0.025445424	0.038859802	0.02706913	0.025096855	0.030784219	0.049295309	0.023404752	0.005443164	0.020750781	0.034113766	0.031814165	0.028030453	0.042784547	0.034032707	0.024967944	0.039947178	0.030495627	0.040053284	0.023971794	0.037955135	0.032604815	0.023093425	0.01860652	0.028254301	0.040929689	0.018700013	0.031320066	0.015647339	0.025482482	0.038256312	0.030383249	0.032561589	0.042197765	0.025667269	0.024463677	0.029496341	0.031065442	0.03194059	0.028811629	0.052889829	0.013876488	0.040402267	0.069503079	0.033434491	0.010064355	0.021405189	0.020519081	0.035229153	0.031244732	0.03790232	0.020579717	0.036596321	0.02523196	0.023777167	0.017679973	0.042182272	0.02562258	0.021704794	0.036190948	0.050129536	0.028286725	0.014342716	0.049703791	0.034048851	0.030269083	0.035352102	0.049468075	0.044518052	0.021918165	0.032681703	0.021329483	0.022971607	0.010689747	0.010327698	0.039241761	0.023165461	0.032883788	0.040796023	0.036635465	0.037634109	0.016585228	0.039597416	0.029036138	0.024447074	0.031717424	0.030371964	0.036526775	0.052919941	0.031243933	0.025107938	0.040412432	0.029694223	0.04244423	0.03022668	0.023378792	0.025106504	0.025990795	0.062281572	0.032745054	0.015696216	0.044378132	0.02313883	0.039829256	0.034053034	0.035024735	0.042755387	0.020648311	0.033950446	0.025419129	0.016232469	0.015409464	0.040574598	0.019191481	0.023388304	0.035918394	0.023390926	0.029470628	0.034535104	0.040271111	0.034610798	0.010827996	0.02826999	0.031146976	0.032352525	0.013539179	0.036797856	0.041812527	0.051169033	0.02834822	0.027599295	0.027326943	0.034895828	0.019140393	0.015630509	0.028668293	0.022874187	0.018432957	0.034762639	0.030322624	0.030323712	0.025566474	0.02180443	0.030927392	0.021919354	0.034340408	0.017500101	0.036231696	0.040044133	0.04276432	0.024819335	0.035497443	0.040801715	0.044364781	0.042191913	0.042587444	0.037170959	0.044075111	0.030385901	0.042024338	0.031820187	0.024461002	0.02068194	0.030718374	0.032528558	0.04164585	0.036354713	0.044656131	0.042827809	0.021880199	0.027458929	0.031142382	0.034022631	0.03596144	0.022446689	0.040664739	0.025325044	0.025339732	0.02289029	0.038928402	0.020870056	0.050396226	0.0221498	0.023787489	0.035307361	0.028090024	0.021293614	0.026843776	0.03877923	0.047635739	0.050954764	0.028981086	0.029976978	0.028630654	0.025190215	0.033019756	0.026642984	0.032331802	0.040395468	0.033402254	0.058900994	0.043478261	0.0234916	0.041056833	0.034395759	0.042648372	0.03148504	0.018615371	0.044012855	0.03168631	0	0.031006819	0.037526577	0.035453409	0.030785886	0.036777852	0.040071556	0.065847234	0.028142589	0.021829522	0	0.033820295	0.029758209	0.038603328	0.03761924	0.028477486	0.029838307	0.027431408	0.048591293	0.046129739	0	0.025690885	0	0
beta-Lactam biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biosynthesis of other secondary metabolites	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Branched-chain amino acid metabolism	0.030134044	0.029959499	0.066737354	0.029654568	0.006406571	0	0.016499705	0.014928834	0.030903709	0	0	0.02970314	0.041110257	0.032276066	0.028902401	0	0.016212179	0.023457304	0.008960969	0.032015514	0.007053726	0.028073705	0.033171482	0.030028085	0.03153564	0.032635253	0.026978899	0.048163117	0.027777947	0	0.007801584	0.029937404	0.03051832	0.015226745	0.017674536	0.014913638	0	0.037049242	0.038502783	0.019279808	0.061194557	0.020758512	0.006537762	0.031719648	0.026214147	0.02686749	0.02043898	0.014404154	0.010450133	0.026593175	0.019041176	0.013841877	0.007237982	0.02751454	0.021363222	0.026049271	0.028230899	0.031810582	0	0.027529918	0.021506845	0.025808105	0.03929862	0.007933474	0.030961915	0.020939381	0.009477693	0.064082774	0.03493769	0.022796526	0.046207473	0.058910972	0.032321678	0.019643728	0.021820338	0.009195522	0.04766037	0.045018104	0.050999922	0.030970668	0.026053211	0.040955486	0.010528276	0	0.043844423	0.033643409	0.007455569	0.037359156	0.008323998	0	0	0.006677708	0.011291176	0.024629689	0.027471314	0.036754572	0.0218249	0.021085716	0.039825282	0.037064738	0.040137565	0.019964011	0.006771484	0.018732121	0.054687608	0.050734189	0.019357426	0.054194242	0.038747647	0.05922533	0.033411256	0.015608409	0.015621967	0.010461641	0.015075594	0.014397199	0.032123887	0.009068004	0.033000064	0.037446989	0.037150684	0.053959225	0.012796423	0.056440976	0.012976062	0.034883244	0.00971206	0.043365497	0.011872792	0.007545068	0.041654807	0.044787028	0.057262681	0.040266462	0.024249631	0.011503108	0.036196392	0.020543781	0.033074854	0.034305054	0.043857364	0.009563567	0.0099671	0.043874277	0.065509376	0.036404451	0.028662862	0.059821651	0.044566464	0.029654743	0.007728382	0.0238638	0.024650626	0.034440082	0.015333756	0.022639084	0.024404001	0.035667492	0.010182014	0.037783255	0.027775115	0.039484173	0.039852592	0.014709263	0.012271907	0.035613902	0.007731848	0.042295091	0.008585102	0.019250111	0.01497767	0.039394768	0.046105282	0.042943981	0.039673612	0.007541549	0.010339999	0.007798505	0.007871613	0	0.011018778	0	0.007349548	0.007955047	0.032952242	0.025838194	0.055524513	0.042209676	0.020822925	0	0.012142553	0.01026694	0.012155666	0.038724131	0.03373758	0	0.02697108	0.044893378	0.006639141	0.01777509	0.017785399	0.064948054	0.026837004	0.05243174	0.040316981	0.019381075	0.032275594	0.020951621	0.033812066	0.038328505	0.013981498	0.00806608	0.040000999	0.042836547	0.019156989	0.010706064	0.014184764	0.031003342	0.030854344	0	0.021554534	0.015445326	0.027425009	0	0	0	0	0.031749931	0.02649148	0.054665331	0	0.012225793	0.056963993	0	0.053835027	0.015512955	0.019847124	0.007183373	0.012259284	0.01352415	0	0	0	0	0.014141672	0	0.023863876	0.017362726	0.022286728	0.032393902	0.008229422	0	0.010251053	0	0	0.050326954	0
Carbon fixation	0.041852839	0.025771612	0.041526252	0.037110109	0.063442853	0.051279113	0.027499509	0.022967437	0.050004544	0.025471564	0.040818412	0.054691496	0.030887071	0.051252167	0.06700102	0.029947758	0.02221669	0.036910286	0.047605146	0.041219269	0.044085787	0.034342833	0.040126792	0.05524109	0.040601442	0.049364248	0.036999633	0.037284376	0.03139349	0.056873603	0.029787866	0.016329493	0.045786464	0.040242112	0.026511804	0.032086141	0.060495683	0.041624618	0.043978348	0.040166266	0.042693877	0.052679813	0.057477825	0.032228519	0.06252288	0.050686959	0.047549996	0.026776952	0.0235128	0.028224731	0.05095612	0.014443698	0.023687941	0.065285772	0.035320527	0.045586225	0.05571888	0.040955424	0.047095025	0.035395609	0.034410951	0.046109624	0.043994415	0.068095655	0.053296453	0.05656541	0.056866156	0.039471274	0.015096533	0.033850777	0.026970314	0.041100678	0.048396096	0.056071287	0.030087672	0.056705721	0.016821307	0.036780842	0.030089954	0.044529255	0.041941723	0.027818821	0.02368862	0.035385555	0.058287796	0.029911306	0.063993631	0.028810566	0.051793765	0.062234429	0.04010925	0.055647565	0.031880968	0.036944534	0.037465701	0.054168078	0.039357704	0.051351608	0.045277552	0.054625194	0.036559035	0.048786137	0.04965755	0.037311949	0.024441389	0.039597416	0.029036138	0.021321774	0.040128205	0.021026744	0.038187083	0.017838182	0.041398212	0.034872136	0.057865917	0.038392531	0.062148173	0.027204012	0.045164743	0.040144064	0.038523644	0.029926965	0.034123793	0.029648408	0.023356912	0.043247459	0.045538771	0.048289784	0.044325088	0.055330501	0.044098893	0.044686561	0.027160165	0.032423529	0.05035271	0.032592138	0.016359951	0.047961826	0.063987953	0.043718638	0.042825213	0.023908918	0.046882285	0.050898233	0.016241994	0.035383084	0.047580351	0.036625501	0.039263619	0.038470485	0.0566748	0.073888976	0.040920039	0.008634004	0.040086818	0.038019835	0.027161129	0.017293329	0.035245431	0.057433024	0.030875647	0.040697493	0.034987643	0.025776233	0.024447941	0.02604418	0.020618261	0.038866057	0.022893606	0.032083519	0.011982136	0.031385942	0.03207324	0.040762959	0.012528509	0.055304695	0.058071104	0.057189039	0.057725161	0.079567856	0.02479225	0.037602552	0.053896685	0.050464828	0.045908642	0.035687723	0.030543041	0.024108467	0.062468775	0.085540502	0.058689009	0.071705616	0.029902939	0.041188394	0.010380794	0.048198728	0.038605663	0.033670034	0.047027249	0.025657956	0.025672836	0.057225725	0.043961569	0.052816638	0.050396226	0.029556139	0.05618657	0.019288794	0.039994844	0.016485379	0.021597435	0.063856465	0.04973308	0.053274254	0.019156989	0.032118191	0.02286189	0.042277284	0.045774519	0.026642984	0.039606457	0.048236941	0.041760809	0.058900994	0.07826087	0.0234916	0.082113667	0.031749931	0.061498079	0.032853955	0.018615371	0.04547995	0.033399084	0.097156844	0.032354941	0.012410364	0.044325243	0.053362202	0.038616744	0.044579606	0	0.028142589	0.112266112	0.089185343	0.025926398	0.016786682	0.071123708	0.017362726	0.022286728	0.029009465	0.020573556	0.045923364	0.024602528	0	0	0.052381115	0.027470869
